"qid","wp_title","title","insee"
"Q204388","fr:L'Abergement-Clémenciat","L'Abergement-Clémenciat","01001"
"Q208567","fr:L'Abergement-de-Varey","L'Abergement-de-Varey","01002"
"Q192166","fr:Ambérieu-en-Bugey","Ambérieu-en-Bugey","01004"
"Q204177","fr:Ambérieux-en-Dombes","Ambérieux-en-Dombes","01005"
"Q193812","fr:Ambléon","Ambléon","01006"
"Q193533","fr:Ambronay","Ambronay","01007"
"Q10290","fr:Ambutrix","Ambutrix","01008"
"Q204167","fr:Andert-et-Condon","Andert-et-Condon","01009"
"Q193996","fr:Anglefort","Anglefort","01010"
"Q202829","fr:Apremont (Ain)","Apremont","01011"
"Q194006","fr:Aranc","Aranc","01012"
"Q211635","fr:Arandas","Arandas","01013"
"Q209048","fr:Arbent","Arbent","01014"
"Q21619395","fr:Arboys-en-Bugey","Arboys-en-Bugey","01015"
"Q208570","fr:Arbigny","Arbigny","01016"
"Q208431","fr:Argis","Argis","01017"
"Q194167","fr:Armix","Armix","01019"
"Q206665","fr:Ars-sur-Formans","Ars-sur-Formans","01021"
"Q193994","fr:Artemare","Artemare","01022"
"Q208564","fr:Asnières-sur-Saône","Asnières-sur-Saône","01023"
"Q209070","fr:Attignat","Attignat","01024"
"Q206680","fr:Bâgé-la-Ville","Bâgé-la-Ville","01025"
"Q202455","fr:Bâgé-le-Châtel","Bâgé-le-Châtel","01026"
"Q241523","fr:Balan (Ain)","Balan","01027"
"Q210902","fr:Baneins","Baneins","01028"
"Q237453","fr:Beaupont","Beaupont","01029"
"Q838505","fr:Beauregard (Ain)","Beauregard","01030"
"Q210917","fr:Bellignat","Bellignat","01031"
"Q211116","fr:Béligneux","Béligneux","01032"
"Q191475","fr:Bellegarde-sur-Valserine","Bellegarde-sur-Valserine","01033"
"Q188496","fr:Belley","Belley","01034"
"Q211712","fr:Belleydoux","Belleydoux","01035"
"Q208102","fr:Belmont-Luthézieu","Belmont-Luthézieu","01036"
"Q210920","fr:Bénonces","Bénonces","01037"
"Q213397","fr:Bény","Bény","01038"
"Q210939","fr:Béon (Ain)","Béon","01039"
"Q838522","fr:Béréziat","Béréziat","01040"
"Q206673","fr:Bettant","Bettant","01041"
"Q838488","fr:Bey (Ain)","Bey","01042"
"Q10235","fr:Beynost","Beynost","01043"
"Q209058","fr:Billiat","Billiat","01044"
"Q838480","fr:Birieux","Birieux","01045"
"Q210930","fr:Biziat","Biziat","01046"
"Q838485","fr:Blyes","Blyes","01047"
"Q212591","fr:La Boisse","La Boisse","01049"
"Q838510","fr:Boissey (Ain)","Boissey","01050"
"Q213404","fr:Bolozon","Bolozon","01051"
"Q213389","fr:Bouligneux","Bouligneux","01052"
"Q133069","fr:Bourg-en-Bresse","Bourg-en-Bresse","01053"
"Q838496","fr:Bourg-Saint-Christophe","Bourg-Saint-Christophe","01054"
"Q658686","fr:Boyeux-Saint-Jérôme","Boyeux-Saint-Jérôme","01056"
"Q598434","fr:Boz","Boz","01057"
"Q211651","fr:Brégnier-Cordon","Brégnier-Cordon","01058"
"Q212602","fr:Brénaz","Brénaz","01059"
"Q207453","fr:Brénod","Brénod","01060"
"Q211128","fr:Brens (Ain)","Brens","01061"
"Q838714","fr:Bressolles (Ain)","Bressolles","01062"
"Q241533","fr:Brion (Ain)","Brion","01063"
"Q211706","fr:Briord","Briord","01064"
"Q838492","fr:Buellas","Buellas","01065"
"Q616098","fr:La Burbanche","La Burbanche","01066"
"Q838365","fr:Ceignes","Ceignes","01067"
"Q243107","fr:Cerdon (Ain)","Cerdon","01068"
"Q212905","fr:Certines","Certines","01069"
"Q236690","fr:Cessy","Cessy","01071"
"Q210104","fr:Ceyzériat","Ceyzériat","01072"
"Q212615","fr:Ceyzérieu","Ceyzérieu","01073"
"Q209072","fr:Chalamont","Chalamont","01074"
"Q838340","fr:Chaleins","Chaleins","01075"
"Q633718","fr:Chaley","Chaley","01076"
"Q838343","fr:Challes-la-Montagne","Challes-la-Montagne","01077"
"Q236685","fr:Challex","Challex","01078"
"Q206553","fr:Champagne-en-Valromey","Champagne-en-Valromey","01079"
"Q21979656","fr:Champdor-Corcelles","Champdor-Corcelles","01080"
"Q210935","fr:Champfromier","Champfromier","01081"
"Q210908","fr:Chanay","Chanay","01082"
"Q838567","fr:Chaneins","Chaneins","01083"
"Q684166","fr:Chanoz-Châtenay","Chanoz-Châtenay","01084"
"Q838362","fr:La Chapelle-du-Châtelard","La Chapelle-du-Châtelard","01085"
"Q210116","fr:Charix","Charix","01087"
"Q728369","fr:Charnoz-sur-Ain","Charnoz-sur-Ain","01088"
"Q503257","fr:Château-Gaillard (Ain)","Château-Gaillard","01089"
"Q838698","fr:Châtenay (Ain)","Châtenay","01090"
"Q182134","fr:Châtillon-en-Michaille","Châtillon-en-Michaille","01091"
"Q773681","fr:Châtillon-la-Palud","Châtillon-la-Palud","01092"
"Q208439","fr:Châtillon-sur-Chalaronne","Châtillon-sur-Chalaronne","01093"
"Q838328","fr:Chavannes-sur-Reyssouze","Chavannes-sur-Reyssouze","01094"
"Q648087","fr:Chavannes-sur-Suran","Chavannes-sur-Suran","01095"
"Q667628","fr:Chaveyriat","Chaveyriat","01096"
"Q239851","fr:Chavornay (Ain)","Chavornay","01097"
"Q212643","fr:Chazey-Bons","Chazey-Bons","01098"
"Q838332","fr:Chazey-sur-Ain","Chazey-sur-Ain","01099"
"Q590958","fr:Cheignieu-la-Balme","Cheignieu-la-Balme","01100"
"Q275805","fr:Chevillard (Ain)","Chevillard","01101"
"Q579448","fr:Chevroux (Ain)","Chevroux","01102"
"Q332456","fr:Chevry (Ain)","Chevry","01103"
"Q272359","fr:Chézery-Forens","Chézery-Forens","01104"
"Q604499","fr:Civrieux (Ain)","Civrieux","01105"
"Q838708","fr:Cize (Ain)","Cize","01106"
"Q844257","fr:Cleyzieu","Cleyzieu","01107"
"Q210924","fr:Coligny (Ain)","Coligny","01108"
"Q244714","fr:Collonges (Ain)","Collonges","01109"
"Q838370","fr:Colomieu","Colomieu","01110"
"Q838732","fr:Conand","Conand","01111"
"Q275216","fr:Condamine (Ain)","Condamine","01112"
"Q596467","fr:Condeissiat","Condeissiat","01113"
"Q275320","fr:Confort (Ain)","Confort","01114"
"Q844206","fr:Confrançon","Confrançon","01115"
"Q739814","fr:Contrevoz","Contrevoz","01116"
"Q212580","fr:Conzieu","Conzieu","01117"
"Q237432","fr:Corbonod","Corbonod","01118"
"Q237427","fr:Corlier","Corlier","01121"
"Q213412","fr:Cormaranche-en-Bugey","Cormaranche-en-Bugey","01122"
"Q838358","fr:Cormoranche-sur-Saône","Cormoranche-sur-Saône","01123"
"Q669003","fr:Cormoz","Cormoz","01124"
"Q844230","fr:Corveissiat","Corveissiat","01125"
"Q844261","fr:Courmangoux","Courmangoux","01127"
"Q602112","fr:Courtes","Courtes","01128"
"Q858658","fr:Crans (Ain)","Crans","01129"
"Q844248","fr:Cras-sur-Reyssouze","Cras-sur-Reyssouze","01130"
"Q578383","fr:Cressin-Rochefort","Cressin-Rochefort","01133"
"Q549825","fr:Crottet","Crottet","01134"
"Q163699","fr:Crozet (Ain)","Crozet","01135"
"Q844218","fr:Cruzilles-lès-Mépillat","Cruzilles-lès-Mépillat","01136"
"Q243597","fr:Culoz","Culoz","01138"
"Q839765","fr:Curciat-Dongalon","Curciat-Dongalon","01139"
"Q838686","fr:Curtafond","Curtafond","01140"
"Q853486","fr:Cuzieu (Ain)","Cuzieu","01141"
"Q241543","fr:Dagneux","Dagneux","01142"
"Q241575","fr:Divonne-les-Bains","Divonne-les-Bains","01143"
"Q580443","fr:Dommartin (Ain)","Dommartin","01144"
"Q838721","fr:Dompierre-sur-Veyle","Dompierre-sur-Veyle","01145"
"Q774184","fr:Dompierre-sur-Chalaronne","Dompierre-sur-Chalaronne","01146"
"Q838674","fr:Domsure","Domsure","01147"
"Q271081","fr:Dortan","Dortan","01148"
"Q838350","fr:Douvres (Ain)","Douvres","01149"
"Q842859","fr:Drom (Ain)","Drom","01150"
"Q844243","fr:Druillat","Druillat","01151"
"Q273323","fr:Échallon","Échallon","01152"
"Q177568","fr:Échenevex","Échenevex","01153"
"Q838688","fr:Étrez","Étrez","01154"
"Q237474","fr:Évosges","Évosges","01155"
"Q652898","fr:Faramans (Ain)","Faramans","01156"
"Q652837","fr:Fareins","Fareins","01157"
"Q457007","fr:Farges (Ain)","Farges","01158"
"Q839756","fr:Feillens","Feillens","01159"
"Q233733","fr:Ferney-Voltaire","Ferney-Voltaire","01160"
"Q864719","fr:Flaxieu","Flaxieu","01162"
"Q842855","fr:Foissiat","Foissiat","01163"
"Q244536","fr:Francheleins","Francheleins","01165"
"Q841585","fr:Frans","Frans","01166"
"Q734173","fr:Garnerans","Garnerans","01167"
"Q842745","fr:Genouilleux","Genouilleux","01169"
"Q275382","fr:Béard-Géovreissiat","Béard-Géovreissiat","01170"
"Q275362","fr:Géovreisset","Géovreisset","01171"
"Q840533","fr:Germagnat","Germagnat","01172"
"Q202451","fr:Gex","Gex","01173"
"Q243028","fr:Giron (Ain)","Giron","01174"
"Q764928","fr:Gorrevod","Gorrevod","01175"
"Q659440","fr:Grand-Corent","Grand-Corent","01177"
"Q742113","fr:Grièges","Grièges","01179"
"Q339095","fr:Grilly","Grilly","01180"
"Q275208","fr:Groissiat","Groissiat","01181"
"Q839762","fr:Guéreins","Guéreins","01183"
"Q838245","fr:Hautecourt-Romanèche","Hautecourt-Romanèche","01184"
"Q243114","fr:Hauteville-Lompnes","Hauteville-Lompnes","01185"
"Q317962","fr:Hostiaz","Hostiaz","01186"
"Q21294380","fr:Haut-Valromey","Haut-Valromey","01187"
"Q676621","fr:Illiat","Illiat","01188"
"Q244710","fr:Injoux-Génissiat","Injoux-Génissiat","01189"
"Q678071","fr:Innimond","Innimond","01190"
"Q339133","fr:Izenave","Izenave","01191"
"Q242639","fr:Izernore","Izernore","01192"
"Q664856","fr:Izieu","Izieu","01193"
"Q244528","fr:Jassans-Riottier","Jassans-Riottier","01194"
"Q274648","fr:Jasseron","Jasseron","01195"
"Q637092","fr:Jayat","Jayat","01196"
"Q244524","fr:Journans","Journans","01197"
"Q845861","fr:Joyeux (Ain)","Joyeux","01198"
"Q844812","fr:Jujurieux","Jujurieux","01199"
"Q543731","fr:Labalme","Labalme","01200"
"Q236436","fr:Lagnieu","Lagnieu","01202"
"Q692252","fr:Laiz","Laiz","01203"
"Q21619477","fr:Le Poizat-Lalleyriat","Le Poizat-Lalleyriat","01204"
"Q275302","fr:Lancrans","Lancrans","01205"
"Q275345","fr:Lantenay (Ain)","Lantenay","01206"
"Q859323","fr:Lapeyrouse (Ain)","Lapeyrouse","01207"
"Q838677","fr:Lavours","Lavours","01208"
"Q176415","fr:Léaz","Léaz","01209"
"Q24643","fr:Lélex (Ain)","Lélex","01210"
"Q637204","fr:Lent (Ain)","Lent","01211"
"Q840844","fr:Lescheroux","Lescheroux","01212"
"Q643569","fr:Leyment","Leyment","01213"
"Q853394","fr:Leyssard","Leyssard","01214"
"Q317956","fr:Lhôpital","Lhôpital","01215"
"Q838570","fr:Lhuis","Lhuis","01216"
"Q271904","fr:Lochieu","Lochieu","01218"
"Q840079","fr:Lompnas","Lompnas","01219"
"Q271289","fr:Lompnieu","Lompnieu","01221"
"Q648628","fr:Loyettes","Loyettes","01224"
"Q840433","fr:Lurcy","Lurcy","01225"
"Q540343","fr:Magnieu","Magnieu","01227"
